Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
48 Rue De L arbre Sec 1st arr 75001 Paris France,74,1/4/2016,8.6,L Empire Paris, Switzerland , No views from rooms ,6,619, Great for shopping Friendly and helpfull staff Comfi bead Nice big room and bathroom ,16,2,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",577 day,48.8607764,2.3427564
66 Boulevard Barb s 18th arr 75018 Paris France,116,9/24/2016,7.2,Best Western Hotel Montmartre Sacr Coeur, Czech Republic , No fridge in the room almost no power sockets rotten soap holder in the shower,16,1201, Very friendly staff,4,5,5.4,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",313 day,48.888539,2.3498459
16 avenue de Tourville 7th arr 75007 Paris France,75,6/22/2016,8.8,Le Tourville Eiffel, Croatia , All sounds can be heard outside the hotel room Soundproofing not exist at all ,16,545,No Positive,0,1,7.1,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",407 day,48.8542681,2.3078116
4 Rue La Boetie 8th arr 75008 Paris France,81,1/12/2017,8.7,Hotel Park Lane Paris, France ,No Negative,0,824, It s close Champs lys es and Grands Magasins,10,13,8.8,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",203 day,48.8745879,2.3188143
Aribau 33 Eixample 08011 Barcelona Spain,269,10/1/2015,8.0,Axel Hotel Barcelona Urban Spa Adults Only, Singapore ,No Negative,0,2694, Clean and convenient,4,1,10.0,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 1 night ']",672 day,41.3873478,2.1603987
30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,807,10/24/2016,8.5,DoubleTree by Hilton London Westminster, United Kingdom , Room was tired a lot of chipped paint Glued surfaces fixtures Looked poorly maintained Bed not as comfortable as a premier inn ,24,3269, Close to the subway,5,1,6.3,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",283 day,51.4932356,-0.1269082
Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,666,12/14/2016,8.5,Eurostars Grand Marina Hotel GL, United Arab Emirates , Suite is not really a suite,7,4559, Staff very friendly great location,6,1,7.9,"[' Leisure trip ', ' Couple ', ' Junior Suite with Balcony ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",232 day,41.371308,2.181698
Cardington Street Euston Camden London NW1 2LP United Kingdom,744,3/27/2016,8.3,Thistle Euston, United Kingdom , No Gym,3,2474, Great Location for Business next to Euston Station,9,4,10.0,"[' Leisure trip ', ' Solo traveler ', ' Deluxe King Room ', ' Stayed 1 night ']",494 day,51.5291423,-0.1372782
20 Rue Jean Rey 15th arr 75015 Paris France,333,8/14/2016,8.0,Mercure Paris Centre Tour Eiffel, United Kingdom , Our room was grubby and damaged The walls were dirty and my daughter couldn t have a bath because of the mould The shower leaked The packets of milk on the tea tray were off as seals were broken Not worth the money at all ,47,2611, Beds were comfy and location great Our room,9,3,5.0,"[' Leisure trip ', ' Family with older children ', ' Standard Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",354 day,48.8548641,2.2923181
Stratton Street Mayfair Westminster Borough London W1J 8LT United Kingdom,581,3/14/2017,8.4,The May Fair Hotel, United Kingdom , The pics on line are deceiving Rooms are basic although iron board umbrella are all provided in the room Reception area out weighs the standard of the actual rooms ,31,1994, The bed was extra comfy upgraded to superking room as the first room was small and shabby And cleanliness was not up to scratch location good plenty night life staff were better than the hotel and very attentive Would use again,42,1,7.5,"[' Business trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",142 day,51.5078943,-0.1436707
